,Tags,Time,Score
10,Clicking,047.775,"{'Speech': 0.9945, 'Conversation': 0.0005, 'Narration, monologue': 0.01, 'Speech synthesizer': 0.0022, 'Clicking': 1e-04, 'Silence': 1e-04, 'Inside, small room': 0.0062, 'Inside, large room or hall': 0.0003, 'Outside, rural or natural': 1e-04, 'Radio': 1e-04}
"
11,Clicking,048.175,"{'Speech': 0.9905, 'Child speech, kid speaking': 1e-04, 'Conversation': 0.0015, 'Narration, monologue': 0.0071, 'Speech synthesizer': 0.001, 'Music': 1e-04, 'Musical instrument': 1e-04, 'Tools': 1e-04, 'Clicking': 0.0002, 'Silence': 1e-04, 'Sound effect': 1e-04, 'Inside, small room': 0.0144, 'Inside, large room or hall': 0.0014, 'Outside, urban or manmade': 1e-04, 'Outside, rural or natural': 0.0002, 'Television': 0.0006, 'Radio': 0.0005}
"
12,Clicking,049.375,"{'Speech': 0.9953, 'Conversation': 0.0011, 'Narration, monologue': 0.0111, 'Speech synthesizer': 0.0045, 'Plucked string instrument': 1e-04, 'Guitar': 1e-04, 'Clicking': 1e-04, 'Inside, small room': 0.006, 'Inside, large room or hall': 0.0002, 'Outside, rural or natural': 1e-04, 'Radio': 0.0004}
"
13,Clicking,050.175,"{'Speech': 0.9987, 'Conversation': 0.0004, 'Narration, monologue': 0.0081, 'Speech synthesizer': 0.0005, 'Clicking': 1e-04, 'Silence': 1e-04, 'Inside, small room': 0.0013}
"
14,Clicking,051.775,"{'Speech': 0.9956, 'Narration, monologue': 0.0028, 'Speech synthesizer': 0.0002, 'Clicking': 0.0006, 'Silence': 1e-04, 'Inside, small room': 0.0014}
"
15,Clicking,053.375,"{'Speech': 0.9949, 'Conversation': 1e-04, 'Narration, monologue': 0.0021, 'Speech synthesizer': 1e-04, 'Music': 0.0003, 'Musical instrument': 0.0004, 'Plucked string instrument': 0.0002, 'Guitar': 1e-04, 'Electric guitar': 1e-04, 'Percussion': 0.0004, 'Drum kit': 1e-04, 'Drum': 1e-04, 'Clicking': 0.0004, 'Inside, small room': 0.0018, 'Inside, large room or hall': 0.0003, 'Outside, rural or natural': 1e-04, 'Radio': 1e-04}
"
16,Clicking,058.975,"{'Speech': 0.9976, 'Conversation': 0.0003, 'Narration, monologue': 0.0054, 'Speech synthesizer': 0.0017, 'Clicking': 0.0009, 'Inside, small room': 0.0036, 'Inside, large room or hall': 0.0002, 'Outside, rural or natural': 0.0002, 'Radio': 1e-04}
"
17,Clicking,062.175,"{'Speech': 0.9659, 'Child speech, kid speaking': 1e-04, 'Conversation': 0.0004, 'Narration, monologue': 0.0013, 'Speech synthesizer': 0.0002, 'Run': 1e-04, 'Animal': 0.0004, 'Livestock, farm animals, working animals': 0.0004, 'Horse': 1e-04, 'Clip-clop': 1e-04, 'Fowl': 1e-04, 'Chicken, rooster': 1e-04, 'Wild animals': 0.0002, 'Bird': 0.0002, 'Pigeon, dove': 1e-04, 'Music': 1e-04, 'Musical instrument': 0.0002, 'Plucked string instrument': 1e-04, 'Guitar': 1e-04, 'Electric guitar': 1e-04, 'Acoustic guitar': 1e-04, 'Strum': 1e-04, 'Keyboard (musical)': 1e-04, 'Synthesizer': 1e-04, 'Percussion': 1e-04, 'Bowed string instrument': 1e-04, 'Violin, fiddle': 1e-04, 'Vehicle': 1e-04, 'Door': 0.0004, 'Tap': 0.0002, 'Typing': 0.0006, 'Computer keyboard': 0.0004, 'Alarm': 1e-04, 'Mechanisms': 1e-04, 'Clock': 0.0002, 'Tick': 1e-04, 'Tick-tock': 0.0002, 'Tools': 1e-04, 'Clicking': 0.0008, 'Silence': 1e-04, 'Sound effect': 1e-04, 'Inside, small room': 0.0035, 'Inside, large room or hall': 0.0008, 'Outside, urban or manmade': 0.0003, 'Outside, rural or natural': 0.0005, 'Noise': 1e-04, 'Radio': 0.0003}
"
18,Clicking,064.175,"{'Speech': 0.9904, 'Conversation': 0.0005, 'Narration, monologue': 0.0094, 'Speech synthesizer': 0.0003, 'Clicking': 0.0028, 'Silence': 0.0003, 'Inside, small room': 0.0026, 'Inside, large room or hall': 0.0003, 'Outside, rural or natural': 1e-04, 'Radio': 1e-04}
"
19,Clicking,070.575,"{'Speech': 0.9963, 'Conversation': 0.0004, 'Narration, monologue': 0.0043, 'Speech synthesizer': 1e-04, 'Musical instrument': 1e-04, 'Plucked string instrument': 1e-04, 'Guitar': 0.0002, 'Acoustic guitar': 1e-04, 'Clicking': 0.0003, 'Silence': 1e-04, 'Inside, small room': 0.0072, 'Inside, large room or hall': 1e-04}
"
20,Clicking,070.975,"{'Speech': 0.9949, 'Conversation': 0.0005, 'Narration, monologue': 0.0045, 'Speech synthesizer': 0.0003, 'Music': 1e-04, 'Musical instrument': 1e-04, 'Plucked string instrument': 0.0002, 'Guitar': 0.0002, 'Electric guitar': 1e-04, 'Acoustic guitar': 1e-04, 'Clicking': 1e-04, 'Silence': 0.0003, 'Inside, small room': 0.017, 'Inside, large room or hall': 0.0003}
"
21,Clicking,075.775,"{'Speech': 0.9924, 'Child speech, kid speaking': 1e-04, 'Conversation': 1e-04, 'Narration, monologue': 0.0009, 'Animal': 1e-04, 'Wild animals': 1e-04, 'Musical instrument': 1e-04, 'Percussion': 1e-04, 'Tools': 1e-04, 'Clicking': 0.0002, 'Inside, small room': 0.0075, 'Inside, large room or hall': 0.001, 'Outside, urban or manmade': 0.0003, 'Outside, rural or natural': 0.0014}
"
22,Clicking,078.175,"{'Speech': 0.9879, 'Narration, monologue': 0.0004, 'Music': 1e-04, 'Musical instrument': 0.0003, 'Plucked string instrument': 1e-04, 'Guitar': 1e-04, 'Keyboard (musical)': 1e-04, 'Percussion': 1e-04, 'Typing': 1e-04, 'Computer keyboard': 1e-04, 'Clicking': 1e-04, 'Inside, small room': 0.0033, 'Inside, large room or hall': 1e-04}
"
